Energy [eV]     | Sigma DWBA [cm^2]    | Sigma Cal [cm^2]     | C         
---------------------------------------------------------------------------
41.00           | 2.230e+70            | 2.650e-20            | 0.000     
41.20           | 3.400e+64            | 5.470e-20            | 0.000     
41.40           | 1.450e+62            | 8.270e-20            | 0.000     
41.60           | 4.980e+59            | 1.100e-19            | 0.000     
41.80           | 3.700e+55            | 1.380e-19            | 0.000     
42.00           | 4.560e+53            | 1.650e-19            | 0.000     
42.20           | 2.270e+51            | 1.930e-19            | 0.000     
42.40           | 2.320e+53            | 2.190e-19            | 0.000     
42.60           | 9.470e+48            | 2.460e-19            | 0.000     
42.80           | 6.950e+45            | 2.720e-19            | 0.000     
43.00           | 9.910e+44            | 2.980e-19            | 0.000     
43.20           | 4.560e+41            | 3.240e-19            | 0.000     
43.40           | 1.970e+41            | 3.500e-19            | 0.000     
43.60           | 5.970e+38            | 3.750e-19            | 0.000     
43.80           | 3.720e+37            | 4.000e-19            | 0.000     
44.00           | 1.440e+37            | 4.250e-19            | 0.000     
44.20           | 2.740e+35            | 4.490e-19            | 0.000     
44.40           | 1.380e+32            | 4.730e-19            | 0.000     
80.00           | 5.140e-18            | 1.920e-18            | 0.374     
90.00           | 4.660e-18            | 1.940e-18            | 0.416     
100.00          | 4.270e-18            | 1.920e-18            | 0.449     
110.00          | 3.970e-18            | 1.880e-18            | 0.474     
120.00          | 3.710e-18            | 1.840e-18            | 0.496     
300.00          | 1.760e-18            | 1.180e-18            | 0.673     
400.00          | 1.370e-18            | 1.000e-18            | 0.729     
500.00          | 1.100e-18            | 8.710e-19            | 0.789     
600.00          | 9.380e-19            | 7.760e-19            | 0.827     
