Energy [eV]     | Sigma DWBA [cm^2]    | Sigma Cal [cm^2]     | C         
---------------------------------------------------------------------------
41.00           | 5.140e+42            | 7.000e-20            | 0.000     
41.00           | 2.230e+70            | 2.650e-20            | 0.000     
41.20           | 1.720e+35            | 1.420e-19            | 0.000     
41.20           | 3.400e+64            | 5.470e-20            | 0.000     
41.40           | 2.060e+32            | 2.120e-19            | 0.000     
41.40           | 1.450e+62            | 8.270e-20            | 0.000     
41.60           | 2.550e+27            | 2.790e-19            | 0.000     
41.60           | 4.980e+59            | 1.100e-19            | 0.000     
41.80           | 8.050e+23            | 3.430e-19            | 0.000     
41.80           | 3.700e+55            | 1.380e-19            | 0.000     
42.00           | 1.330e+23            | 4.050e-19            | 0.000     
42.00           | 4.560e+53            | 1.650e-19            | 0.000     
42.20           | 1.660e+22            | 4.650e-19            | 0.000     
42.20           | 2.270e+51            | 1.930e-19            | 0.000     
42.40           | 3.640e+18            | 5.220e-19            | 0.000     
42.40           | 2.320e+53            | 2.190e-19            | 0.000     
42.60           | 5.340e+17            | 5.770e-19            | 0.000     
42.60           | 9.470e+48            | 2.460e-19            | 0.000     
42.80           | 7.080e+15            | 6.300e-19            | 0.000     
42.80           | 6.950e+45            | 2.720e-19            | 0.000     
43.00           | 2.920e+13            | 6.810e-19            | 0.000     
43.00           | 9.910e+44            | 2.980e-19            | 0.000     
43.20           | 4.950e+11            | 7.300e-19            | 0.000     
43.20           | 4.560e+41            | 3.240e-19            | 0.000     
43.40           | 2.470e+12            | 7.780e-19            | 0.000     
43.40           | 1.970e+41            | 3.500e-19            | 0.000     
43.60           | 1.520e+09            | 8.230e-19            | 0.000     
43.60           | 5.970e+38            | 3.750e-19            | 0.000     
43.80           | 7.520e+07            | 8.670e-19            | 0.000     
43.80           | 3.720e+37            | 4.000e-19            | 0.000     
44.00           | 1.130e+06            | 9.090e-19            | 0.000     
44.00           | 1.440e+37            | 4.250e-19            | 0.000     
44.20           | 3.240e+04            | 9.490e-19            | 0.000     
44.20           | 2.740e+35            | 4.490e-19            | 0.000     
44.40           | 1.380e+32            | 4.730e-19            | 0.000     
80.00           | 1.610e-18            | 1.510e-18            | 0.941     
80.00           | 5.140e-18            | 1.920e-18            | 0.374     
90.00           | 1.420e-18            | 1.350e-18            | 0.949     
90.00           | 4.660e-18            | 1.940e-18            | 0.416     
100.00          | 1.280e-18            | 1.210e-18            | 0.949     
100.00          | 4.270e-18            | 1.920e-18            | 0.449     
110.00          | 1.160e-18            | 1.100e-18            | 0.946     
110.00          | 3.970e-18            | 1.880e-18            | 0.474     
120.00          | 1.070e-18            | 1.000e-18            | 0.942     
120.00          | 3.710e-18            | 1.840e-18            | 0.496     
300.00          | 4.300e-19            | 3.930e-19            | 0.915     
300.00          | 1.760e-18            | 1.180e-18            | 0.673     
400.00          | 3.240e-19            | 2.990e-19            | 0.923     
400.00          | 1.370e-18            | 1.000e-18            | 0.729     
500.00          | 2.600e-19            | 2.440e-19            | 0.936     
500.00          | 1.100e-18            | 8.710e-19            | 0.789     
600.00          | 2.170e-19            | 2.060e-19            | 0.949     
600.00          | 9.380e-19            | 7.760e-19            | 0.827     
